feature,mean_abs_shap
product_card_risk,0.2864347
C1,0.22600283
C14,0.21922359
C13,0.20373008
TransactionAmt,0.15368582
card1_amt_mean,0.14727305
card1_txn_count,0.13353743
P_emaildomain,0.1290213
V70,0.1242266
C11,0.117399424
M6,0.094030626
D1,0.08970672
card1,0.08667432
C2,0.085748434
D15,0.08557035
D4,0.08367395
D3,0.08262344
M4,0.08193025
V48,0.0810534
C8,0.07770538
C6,0.06696386
D2,0.066818915
V317,0.06660516
M5,0.06320384
card2,0.062346246
V91,0.060522042
card3,0.060322497
D10,0.055297315
addr1,0.049996268
V308,0.04986003
C4,0.049591105
card5,0.047915734
is_round_amount,0.046943117
c_cols_sum,0.045224454
v_cols_sum,0.042771786
C5,0.041045856
V29,0.037526954
TransactionAmt_log,0.036647648
dist1,0.034603022
M3,0.034253668
ProductCD_risk_score,0.033689607
D11,0.032444086
ProductCD,0.030772975
V102,0.030677034
amt_deviation_card1,0.028960677
C9,0.0287061
V294,0.028559975
is_peak_fraud_hour,0.02686571
V310,0.026331177
hour,0.025691207
V312,0.024917824
V283,0.024397004
amt_log_x_hour,0.02188816
v_cols_std,0.020387584
V87,0.02006952
V49,0.019924426
c_cols_max,0.019209808
V45,0.018486792
card6_risk_score,0.018029895
V281,0.017997216
V285,0.017961862
card4_risk_score,0.016844822
V82,0.015690966
D5,0.015175769
V303,0.013921923
V315,0.013158939
V38,0.012953901
c_cols_mean,0.012555813
V55,0.012385866
V62,0.011567416
C12,0.011427089
V133,0.011354307
V130,0.010497834
V72,0.010377613
V131,0.010254276
V53,0.009919214
card6,0.009906934
V129,0.009372691
C10,0.009016865
V316,0.008948058
V19,0.008514108
V282,0.008421494
V83,0.008303675
V280,0.008242794
V309,0.008178763
M9,0.008109547
V75,0.0077713244
M2,0.007737911
V54,0.0069457586
V128,0.0069323415
V279,0.0066909716
V307,0.0065954644
V20,0.0064626895
day,0.0064482586
V33,0.0064458335
V313,0.0061582117
V296,0.006093628
V2,0.0060522584
V291,0.005845351
V136,0.0057081967
V99,0.0054147104
V36,0.005136944
V12,0.0050099823
v_cols_mean,0.004923388
V40,0.0047859284
V290,0.0047211996
V11,0.0046878797
V314,0.0046554157
V35,0.0044680946
V74,0.0043952954
V320,0.0043435427
card4,0.004230431
V76,0.004120067
V306,0.0039585503
V94,0.0038736695
V30,0.0037386692
M8,0.003679181
V67,0.0036427043
time_of_day,0.0036348982
V64,0.003618706
V61,0.0034817448
V311,0.0034768553
V56,0.00335262
V5,0.0032529342
V81,0.0031525358
V295,0.0031141844
V126,0.0030077028
V13,0.00294736
V135,0.002845746
V96,0.0027537146
M7,0.0026974743
V66,0.0026586624
V69,0.0026244363
V8,0.0026141393
V127,0.0025518124
V98,0.002500015
V71,0.0024120407
amt_bucket,0.002279768
V124,0.0022606766
V293,0.0022345295
V63,0.0018761316
V318,0.0018245149
V86,0.0017576353
V92,0.0016916968
V37,0.0016616337
V287,0.0015277329
V44,0.0014906584
V78,0.0014875191
V289,0.0014578885
V319,0.0014499486
V109,0.0014435222
V47,0.0014087039
V52,0.0014030131
V43,0.0013901036
V4,0.0013723943
V24,0.0013715161
V101,0.0013296435
V7,0.0013103386
V90,0.0013090449
V21,0.0011675447
V302,0.0011573992
V105,0.0011530928
V23,0.001152881
V34,0.0010935959
V97,0.0010919067
V26,0.0010412319
V10,0.0010393803
V80,0.001026548
V59,0.0010173931
V100,0.001006884
V25,0.0009991114
V58,0.0009895503
V286,0.0009740313
V51,0.00097059074
is_high_value,0.00093717355
V6,0.00093652366
V103,0.0008786904
V298,0.0008700334
V95,0.00084123143
V77,0.000839251
V132,0.00080996245
V301,0.0007664535
C7,0.0007424147
is_weekend,0.000708861
is_high_deviation,0.0006407421
V93,0.0006170218
V39,0.00055427535
V134,0.00053825614
V42,0.0005203987
V304,0.00051348004
V137,0.00049618736
V60,0.0004922729
V115,0.00037812762
V288,0.00035474007
V85,0.00033916943
V17,0.00031240543
V321,0.00030932238
V9,0.00027977437
V300,0.00027822744
V292,0.00027392094
V84,0.00026439765
V73,0.00023849208
V297,0.00023817238
V3,0.00023176611
V299,0.0002179578
V22,0.00020542258
high_value_peak_hour,0.0001834436
V15,0.00015874999
V18,0.00015569259
V46,0.00013991431
M1,0.00012479308
V16,0.00010853539
V32,0.00010797884
V116,0.0001007322
V123,8.951038e-05
V106,8.76114e-05
V104,7.270366e-05
V125,5.889004e-05
V284,5.8730664e-05
V79,4.712446e-05
V50,2.8586544e-05
V57,2.4424704e-05
V31,0.0
